
Car_Name,Year,Selling_Price,Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Owner
ritz,2014,3.35,5.59,27000,Petrol,Dealer,Manual,0
sx4,2013,4.75,9.54,43000,Diesel,Dealer,Manual,0
ciaz,2017,7.25,9.85,6900,Petrol,Dealer,Manual,0
wagon r,2011,2.85,4.15,5200,Petrol,Dealer,Manual,0
swift,2014,4.60,6.87,42450,Diesel,Dealer,Manual,0
vitara brezza,2018,9.25,9.83,2071,Diesel,Dealer,Manual,0
ciaz,2015,6.75,8.12,18796,Petrol,Dealer,Manual,0
s cross,2015,6.50,8.61,33429,Diesel,Dealer,Manual,0
ciaz,2016,8.75,8.89,20273,Diesel,Dealer,Manual,0
ciaz,2015,7.45,8.92,42367,Diesel,Dealer,Manual,0
alto 800,2017,2.85,3.60,2135,Petrol,Dealer,Manual,0
ertiga,2015,6.85,10.38,51000,Diesel,Dealer,Manual,0
dzire,2015,6.25,7.89,15000,Petrol,Dealer,Manual,0
alto k10,2018,2.90,3.26,11000,Petrol,Dealer,Manual,0
ignis,2017,5.25,5.98,14000,Petrol,Dealer,Manual,0
swift,2016,5.75,7.50,30000,Diesel,Dealer,Manual,0
baleno,2018,6.90,8.00,10000,Petrol,Dealer,Manual,0
innova,2017,15.00,18.50,35000,Diesel,Dealer,Manual,0
fortuner,2019,28.00,32.00,20000,Diesel,Dealer,Automatic,0
i20,2016,5.50,7.20,25000,Petrol,Dealer,Manual,0
verna,2015,7.10,10.00,40000,Diesel,Dealer,Manual,0
creta,2018,11.50,14.00,18000,Diesel,Dealer,Manual,0
city,2017,8.80,11.50,22000,Petrol,Dealer,Automatic,0
amaze,2016,5.60,7.80,28000,Diesel,Dealer,Manual,0
jazz,2015,5.25,7.00,35000,Petrol,Dealer,Manual,0
ecosport,2017,8.20,10.50,17000,Diesel,Dealer,Manual,0
endeavour,2019,24.00,30.00,12000,Diesel,Dealer,Automatic,0
polo,2015,5.10,7.40,30000,Petrol,Dealer,Manual,0
vento,2016,6.80,9.10,27000,Diesel,Dealer,Manual,0
rapid,2017,7.00,9.50,20000,Diesel,Dealer,Manual,0
xuv500,2018,13.50,16.50,25000,Diesel,Dealer,Manual,0
scorpio,2016,9.50,12.00,45000,Diesel,Dealer,Manual,0
thar,2020,14.00,16.00,10000,Diesel,Dealer,Manual,0
harrier,2019,16.50,20.00,18000,Diesel,Dealer,Manual,0
nexon,2018,7.80,9.50,22000,Petrol,Dealer,Manual,0
tiago,2017,4.20,5.80,19000,Petrol,Dealer,Manual,0
hexa,2018,12.50,15.00,26000,Diesel,Dealer,Manual,0
kwid,2019,3.80,4.90,12000,Petrol,Dealer,Manual,0
duster,2016,6.50,9.20,41000,Diesel,Dealer,Manual,0
triber,2020,5.90,7.20,9000,Petrol,Dealer,Manual,0
